2011-11-07,22
2012-01-18,36
2012-02-20,86
2012-02-23,114
2012-03-07,153
2012-03-26,191
2012-03-28,226
2012-04-02,261
2012-04-14,293
2012-04-15,302
2012-04-30,346
2012-05-07,401
2012-05-14,442
2012-05-16,480
2012-05-22,519
2012-06-18,539
2012-06-28,567
2012-07-09,603
2012-07-10,627
2012-07-12,667
2012-07-16,707
2012-07-19,746
2012-08-26,766
2012-09-13,799
2012-09-17,833
2012-09-28,872
2012-10-08,914
2012-10-11,939
2012-10-17,979
2012-10-18,1041
2012-10-20,1070
2012-10-22,1101
2012-10-23,1135
2012-10-25,1142
2012-10-30,1160
2012-11-08,1191
2012-11-10,1212
2012-11-15,1251
2012-11-28,1292
2012-11-30,1338
2012-12-04,1374
2012-12-10,1453
2013-01-06,1465
2013-01-11,1483
2013-01-12,1601
2013-01-21,1625
2013-01-22,1650
2013-01-24,1678
2013-01-25,1718
2013-01-30,1851
2013-01-31,1886
2013-02-05,1916
2013-02-06,1943
2013-02-07,1981
2013-02-14,2049
2013-02-25,2141
2013-03-04,2201
2013-03-07,2235
2013-03-12,2262
2013-03-20,2287
2013-03-23,2323
2013-03-24,2343
2013-04-04,2409
2013-04-08,2419
2013-04-13,2463
2013-04-18,2491
2013-04-20,2516
2013-04-27,2531
2013-04-29,2561
2013-05-02,2600
2013-05-06,2717
2013-05-09,2802
2013-05-12,2847
2013-05-13,2883
2013-05-16,2895
2013-05-18,2923
2013-05-20,2963
2013-05-23,3018
2013-05-30,3055
2013-06-03,3155
2013-06-04,3198
2013-06-06,3235
2013-06-09,3271
2013-06-17,3315
2013-06-24,3433
2013-06-25,3458
2013-07-01,3517
2013-07-03,3548
2013-07-08,3572
2013-07-11,3600
2013-07-15,3646
2013-07-18,3719
2013-07-25,3759
2013-07-27,3797
2013-08-04,3809
2013-08-12,3850
2013-08-22,3891
2013-08-23,3924
2013-08-27,3958
2013-08-28,3992
2013-09-05,4023
2013-09-12,4050
2013-09-16,4095
2013-09-19,4144
2013-09-21,4188
2013-09-23,4225
2013-09-24,4245
2013-09-26,4269
2013-09-27,4301
2013-09-30,4358
2013-10-01,4385
2013-10-03,4404
2013-10-09,4439
2013-10-17,4479
2013-10-24,4515
2013-10-25,4542
2013-10-29,4550
2013-11-14,4608
2013-11-18,4640
2013-11-23,4660
2013-11-25,4696
2013-12-03,4772
2013-12-12,4815
2013-12-16,4847
2014-01-06,4867
2014-01-07,4891
2014-01-08,4955
2014-01-13,5048
2014-01-14,5067
2014-01-16,5134
2014-01-18,5155
2014-01-20,5181
2014-01-21,5207
2014-01-27,5355
2014-01-30,5413
2014-01-31,5449
2014-02-03,5473
2014-02-10,5510
2014-02-11,5533
2014-02-13,5571
2014-02-15,5598
2014-02-18,5678
2014-02-22,5725
2014-02-24,5767
2014-02-28,5794
2014-03-10,5831
2014-03-17,6074
2014-03-18,6116
2014-04-02,6142
2014-04-03,6162
2014-04-04,6201
2014-04-09,6241
2014-04-14,6565
2014-04-23,6590
2014-04-24,6648
2014-04-28,6691
2014-04-29,6714
2014-05-05,6744
2014-05-08,6813
2014-05-12,6910
2014-05-19,6976
2014-05-23,7015
2014-05-29,7054
2014-06-02,7102
2014-06-04,7176
2014-06-05,7205
2014-06-10,7279
2014-06-11,7338
2014-06-15,7372
2014-06-16,7606
2014-06-20,7644
2014-06-22,7650
2014-06-24,7757
2014-06-25,7784
2014-06-26,7818
2014-06-30,7848
2014-07-02,7887
2014-07-08,7964
2014-07-10,8030
2014-07-14,8064
2014-07-15,8092
2014-07-17,8130
2014-07-19,8168
2014-07-21,8196
2014-07-23,8222
2014-07-24,8257
2014-07-28,8292
2014-07-30,8332
2014-08-05,8340
2014-08-06,8405
2014-08-11,8461
2014-08-12,8501
2014-08-14,8536
2014-08-18,8596
2014-08-21,8656
2014-08-23,8685
